Basil
Lassie
Scooby
Gromit
Rover
Snoopy
Clifford
Fang
Copper
Hachi
Pluto
Lady
Slinky
Fido
Rex
Marley
Petey
Toto
Buddy
Beethoven
Daisy
Sandy
Benji
Bolt
Scrappy
