Bagpuss
Garfield
Sylvester
Tom
Greebo
Azrael
Simba
Nala
Crookshanks
Mr Bigglesworth
Aslan
Cheshire
Maurice
Jones
Salem
Jiji
Felix
Marie
Duchess
Tigger
Rufus
Bob
Luna
Mochi
Bagheera
Duchess
